ID,name,cre_id,lat,lng,regular,premium,diesel
2039,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",PL/658/EXP/ES/2015,32.47641,-116.9214,19.99,22.09,20.79
2040,"LAS MEJORES ESTACIONES, S.A DE C.V",PL/902/EXP/ES/2015,20.3037,-99.74484,20.35,,
2041,"DIAZ GAS, S.A. DE C.V.",PL/760/EXP/ES/2015,31.71947,-106.4514,15.43,,
2042,"COMBU-EXPRESS, S.A. DE C.V.",PL/825/EXP/ES/2015,20.71413,-103.3042,20.19,,
2043,"PETROMAX, S.A. DE C.V.",PL/585/EXP/ES/2015,26.03787,-98.29977,17.09,,
2044,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/842/EXP/ES/2015,32.51342,-117.0715,20.19,21.99,
2045,MULTISERVICIOS LA PILARICA SA DE CV ,PL/371/EXP/ES/2015,25.7558,-108.9685,21.7,23.85,22.47
2046,"PETROMAX, S.A. DE C.V.",PL/439/EXP/ES/2015,25.77202,-100.2918,21.39,,21.99
2047,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/860/EXP/ES/2015,31.86546,-116.6079,20.59,21.99,20.85
2048,"ESTACION PIRU, S.A. DE C.V.",PL/897/EXP/ES/2015,32.31202,-117.0457,19.69,21.39,
2049,"PETROMAX, S.A. DE C.V.",PL/561/EXP/ES/2015,25.65562,-100.184,21.09,,
2050,AUTOSERVICIO BERLANGA S.A. DE C.V.,PL/797/EXP/ES/2015,26.92554,-101.4189,21.35,,
2051,"PETROMAX, S.A. DE C.V.",PL/583/EXP/ES/2015,25.83842,-97.44485,16.09,16.6,19.99
2052,"GRUPO OCTANO, S.A. DE C.V.",PL/366/EXP/ES/2015,21.4739,-105.1947,21.99,,
2053,"CIRCULO DOS, S.A. DE C.V.",PL/635/EXP/ES/2015,32.5279,-117.0271,20.49,22.79,
2054,"Servicio Sevilla, S.A. de C.V.",PL/868/EXP/ES/2015,19.58616,-99.1973,20.29,,
2055,"PETROMAX, S.A. DE C.V.",PL/558/EXP/ES/2015,25.6788,-100.2365,20.39,21.99,
2056,"GASOLINERA HUITEPEC, S.A. DE C.V.",PL/887/EXP/ES/2015,16.73187,-92.65437,20.6,,
2057,"PETROMAX, S.A. DE C.V.",PL/454/EXP/ES/2015,26.0139,-98.20425,17.09,,
2058,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",PL/890/EXP/ES/2015,24.02956,-104.6217,20.94,,
2059,SERVICIO SIERRA DE ARTEAGA SA DE CV,PL/756/EXP/ES/2015,25.57358,-100.9057,20.89,,
2060,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,PL/795/EXP/ES/2015,28.73367,-106.1008,19.86,21.99,
2061,"GRUPO OCTANO, S.A. DE C.V.",PL/505/EXP/ES/2015,19.77838,-103.9754,21.39,,
2062,Becktrop Operadora SA de CV,PL/708/EXP/ES/2015,32.45102,-117.0249,19.49,,
2063,YLIGARZA S.A. DE C.V.,PL/562/EXP/ES/2015,25.73174,-100.2726,20.55,22.35,
2064,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/636/EXP/ES/2015,32.53171,-117.0466,20.19,21.99,
2065,"PETROMAX, S.A. DE C.V.",PL/516/EXP/ES/2015,25.68592,-100.4652,20.79,22.89,
2066,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/638/EXP/ES/2015,32.51045,-117.0226,19.89,21.99,
2067,"PETROMAX, S.A. DE C.V.",PL/538/EXP/ES/2015,25.66026,-100.1466,20.69,22.49,
2068,"PETROMAX, S.A. DE C.V.",PL/619/EXP/ES/2015,25.44151,-100.9274,20.79,22.49,
2069,"PETROMAX, S.A. DE C.V.",PL/443/EXP/ES/2015,26.06297,-98.32712,17.09,,
2070,RAMCAL SA DE CV,PL/689/EXP/ES/2015,19.03549,-104.2109,20.39,,
2071,"Gasomac, S.A. de C.V.",PL/650/EXP/ES/2015,19.3231,-99.13844,21.19,22.99,21.89
2072,"Autoconsumo los Pinos, S.A. de C.V. ",PL/866/EXP/ES/2015,19.30205,-99.16505,20.99,22.99,
2073,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/380/EXP/ES/2015,25.77298,-109.0001,21.7,24.15,
2074,servicios energeticos plaza industrial sa de cv ,PL/764/EXP/ES/2015,25.2563,-101.1169,20.89,22.29,21.99
2075,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/851/EXP/ES/2015,22.12339,-102.2834,21.37,22.53,
2076,OLEUM GAS S.A. DE C.V.,PL/754/EXP/ES/2015,16.73384,-93.09296,19.49,21.25,20.95
2077,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/397/EXP/ES/2015,25.96616,-109.2961,20.97,,
